Case ID,CM,DTA,KP,KPT,NB
98,1,1,0,0,-1
99,0,0,0,0,1
100,-2,1,1,0,1
101,1,0,-1,-1,1
102,-1,-1,-1,1,-1
103,1,1,1,2,1
104,-2,1,0,0,1
105,0,0,-1,-2,1
106,-2,-2,-1,1,0
107,-3,0,-4,2,-1
108,-1,0,-1,0,-2
109,1,1,1,-2,1
110,-2,0,-1,-1,0
111,-1,-1,-1,0,-1
112,1,1,1,-1,1
113,1,1,1,1,0
114,0,1,0,-1,1
115,0,0,1,0,-1
116,1,1,1,0,1
117,0,1,-1,1,0
118,-1,-2,-1,0,0
119,0,1,-2,-1,1
120,1,1,1,-2,1
121,1,1,1,-1,-1
122,0,-1,-1,0,-1
123,1,1,1,1,-1
124,1,1,0,-1,-1
125,1,-1,1,0,-1
126,1,1,0,0,0
127,0,-1,0,0,1
128,0,-1,-1,1,-1
129,0,-1,-1,0,-1
130,1,1,1,1,1
131,1,1,0,-2,1
132,1,1,1,0,1
133,-2,-2,0,0,-2
134,0,1,1,-1,1
135,-1,-1,0,0,-1
136,0,0,0,1,1
137,1,-1,-1,1,-2
138,0,-1,-1,1,-1
139,0,1,1,-2,1
140,-2,1,0,0,1
141,1,1,1,0,1
142,0,-1,-1,1,-1
143,0,1,0,0,-1
144,1,-1,0,0,0
145,0,0,-1,0,1
146,1,-1,-1,0,-1
147,1,0,1,0,0
148,0,-1,-1,0,-1
149,-1,0,-1,1,-1
150,0,0,-1,0,-1
151,0,1,1,0,0
152,0,1,0,0,0
153,-2,1,1,0,-1
154,1,0,0,-1,1
155,-3,1,0,0,-4
156,1,1,1,0,1
157,0,0,0,1,-1
158,1,1,1,0,1
159,0,0,0,0,0
160,-1,-1,-1,0,-1
161,0,-1,-1,0,-1
162,0,-3,-4,2,-2
163,1,1,0,1,-1
164,1,1,1,2,1
165,0,0,0,2,1
166,-1,-1,-1,0,0
167,0,0,-1,1,0
168,0,0,-1,1,-1
169,1,0,-1,1,0
170,1,1,1,-1,1
171,0,-1,-1,0,0
172,1,0,1,2,-1
173,0,0,0,1,1
174,1,1,0,2,1
175,1,1,1,1,1
176,0,-1,0,-1,-1
177,-1,1,1,-2,1
178,-2,0,0,0,1
179,0,-1,-1,1,-1
180,-1,-1,0,0,-2
181,-2,-1,-1,2,-2
182,-2,-2,-1,1,0
183,1,1,1,0,1
184,1,1,1,-2,1
185,0,0,1,0,-1
186,0,1,-1,1,1
187,-1,1,1,0,1
188,1,1,1,-1,1
189,0,0,0,1,0
190,0,-1,-1,1,-1
191,0,-1,1,-1,-1
192,1,1,1,2,1
193,1,1,1,0,1
194,1,1,0,1,1
195,1,0,1,0,-1
196,0,1,-1,-1,0
197,1,1,1,0,0
198,0,0,0,-1,0
199,0,1,1,2,1
200,1,0,0,1,1
201,1,1,1,-1,1
202,1,0,0,0,0
203,0,-1,0,1,-1
204,0,1,0,1,1
205,0,1,1,1,1
206,0,1,1,1,1
207,0,-1,0,0,0
208,1,1,1,-1,1
209,-1,-1,0,0,-1
210,1,1,1,0,1
211,1,1,0,2,0
212,0,-1,-2,1,-1
213,-1,-1,-1,1,-1
214,0,1,1,1,1
215,0,1,0,1,0
216,1,1,1,-2,1
217,0,-1,-1,0,-1
218,-1,-1,-1,1,-1
219,1,-1,-1,2,0
220,-1,-1,-1,1,-1
221,1,1,1,-2,1
222,0,-1,-1,0,-1
223,1,-1,0,0,1
224,-2,-1,-1,0,-1
225,0,-2,1,1,-1
226,1,1,1,-1,1
227,-1,0,1,1,-1
228,0,-2,-1,0,-1
229,-2,1,1,1,-1
230,-3,1,-1,0,1
231,-1,1,1,-2,1
232,0,-1,-1,0,0
233,1,0,1,1,1
234,-1,-1,-1,1,-1
235,1,1,1,1,1
236,0,1,1,1,0
237,0,-1,-1,1,-1
238,0,-2,-1,0,-1
239,0,-1,0,0,-1
240,0,-2,0,0,-1
241,-1,-1,-1,1,-2
242,-2,1,0,0,1
243,1,1,1,1,0
244,1,1,1,0,-1
245,1,1,1,1,1
246,-1,1,1,-1,-1
247,1,1,1,2,1
248,0,0,-2,1,1
249,-1,-1,-1,0,0
250,-1,-2,-1,0,-1
251,0,0,1,0,-1
252,-1,-1,-1,1,1
253,-2,-2,-1,1,-2
254,-1,-1,-1,1,-1
255,1,0,1,-1,-2
256,1,0,0,0,-1
257,0,-1,-1,0,-1
258,0,1,1,1,0
259,-2,-1,1,0,-1
260,0,1,1,-1,1
261,0,1,1,0,1
262,-1,-1,-1,0,-1
263,1,-1,-1,-1,0
264,0,0,1,2,1
265,0,-1,-1,1,-1
266,1,-1,0,1,-1
267,-3,-2,-1,1,-2
268,1,0,-2,1,1
269,0,0,-1,1,-1
270,1,1,1,2,1
271,1,1,1,0,1
272,1,-1,0,1,1
273,0,0,1,0,0
274,0,-1,0,0,0
275,1,1,1,2,1
276,-2,-2,-1,1,-2
277,0,1,0,-2,-1
278,0,-1,1,-1,-1
279,0,-2,0,1,-2
280,0,-2,-1,1,-2
281,1,1,-2,0,1
282,0,-1,-1,1,-1
283,-1,-1,-1,0,-1
284,1,0,0,2,1
285,1,1,1,-2,-1
286,1,0,1,-1,1
287,1,0,0,-1,1
288,0,-1,-1,0,-1
289,1,1,0,0,0
290,-1,-1,-1,1,-1
291,-1,-2,-2,0,-2
292,0,0,0,0,-1
293,1,1,1,-2,1
294,1,1,1,-2,1
295,0,0,1,1,1
296,-1,-1,-1,0,-1
297,1,-1,-1,0,0
298,1,1,0,-2,1
299,-1,-1,-1,1,-1
300,-2,-2,-2,0,-3
301,-1,0,0,0,1
302,1,-1,0,-1,1
303,1,1,1,-2,1
304,1,1,1,0,0
305,0,1,0,1,0
306,0,-1,-1,0,-1
307,1,1,1,0,1
308,1,0,1,-2,1
309,0,-2,1,1,-1
310,1,1,1,0,-1
311,1,-1,0,2,0
312,1,1,1,1,0
313,-1,-2,-1,1,-1
314,-1,0,-1,1,0
315,0,0,-1,0,0
316,0,-1,-2,1,-2
317,1,1,1,1,-1
318,1,1,0,0,-1
319,0,-1,-1,1,-1
320,1,1,1,0,1
321,-1,1,1,0,1
322,1,0,-1,1,-1
323,0,-1,1,0,-1
324,-1,1,1,1,1
325,0,0,-1,0,-1
326,1,1,1,2,1
327,-2,0,0,0,1
328,0,-1,-1,0,-1
329,1,0,-1,0,1
330,1,1,1,2,1
331,0,1,1,1,1
332,-1,-1,-1,0,0
333,-2,-1,-1,2,-2
334,0,0,0,0,-1
335,0,-1,-1,0,-1
336,-1,0,0,2,-2
337,0,-1,0,1,-1
338,-1,1,1,0,1
339,-1,1,0,0,0
340,-2,-1,1,0,-1
341,0,-1,-1,1,0
342,1,1,1,0,0
343,1,1,1,1,1
344,1,-2,-1,-1,-1
345,-2,-1,-1,0,-1
346,0,-1,0,1,0
347,-1,0,-1,1,-1
348,-1,0,-1,1,-1
349,1,1,0,0,1
350,-1,1,0,0,1
351,1,0,0,0,1
352,1,1,1,0,1
353,0,-1,-1,0,-1
354,-1,1,1,-1,1
355,-1,-1,-1,0,-1
356,1,1,1,-2,1
357,-2,-2,-1,-1,-1
358,-1,-1,-1,-1,-1
359,-2,-2,-1,1,-2
360,0,-1,-1,0,-1
361,-1,1,0,1,1
362,1,1,1,0,1
363,1,1,1,1,0
364,-1,-1,0,1,-1
365,0,1,-1,0,1
366,-1,-2,-2,0,-2
367,-1,-1,1,-1,0
368,-2,1,0,0,1
369,1,0,1,-2,1
370,1,1,1,0,1
371,-2,1,1,0,1
372,0,1,-1,0,1
373,0,0,-1,1,0
374,1,1,-1,-2,1
375,-1,0,-1,1,-1
376,1,1,1,0,1
377,0,0,1,0,-1
378,0,1,-1,0,0
379,0,1,1,-2,1
380,-2,-2,1,1,-2
381,0,0,0,0,-1
382,1,-1,1,0,-1
383,0,-1,-1,0,-1
384,0,-2,-1,1,-1
385,1,1,0,0,-1
386,0,-1,-1,0,-2
387,0,1,1,0,1
388,0,-1,0,0,-1
389,1,1,1,1,-1
390,0,-1,-1,0,-1
391,0,-1,-1,0,-1
392,-2,1,1,1,1
393,0,-2,-2,1,-2
394,-1,-1,-1,1,-1
395,1,1,1,-2,1
396,0,-1,-1,0,-1
397,1,1,0,2,1
398,1,1,-2,-2,1
399,-1,-1,-1,0,-1
400,0,-1,-1,0,-1
401,-1,0,0,1,-1
402,1,0,1,2,1
403,0,-1,-1,0,-1
404,1,1,0,1,0
405,1,0,1,1,1
406,-1,-1,-1,1,-1
407,0,-1,1,-1,-1
408,-1,1,0,-1,0
409,1,1,1,1,-1
410,1,-1,-1,1,-1
411,1,0,1,-2,1
412,0,0,0,1,1
413,0,-2,-1,0,-1
414,-2,0,0,-1,-1
415,1,1,-1,0,1
416,0,-1,-1,0,-1
417,1,1,1,1,1
418,1,1,1,-1,1
419,-1,-1,-1,1,-1
420,1,1,1,0,1
421,-1,0,-2,0,-1
422,1,0,0,1,-1
423,-2,-1,-1,1,-1
424,-1,-1,-1,1,0
425,0,-1,-1,1,-1
426,0,-1,0,-1,-1
427,-1,0,-1,0,0
428,0,-1,-1,0,-1
429,0,1,1,-1,1
430,0,1,0,-2,0
431,1,1,1,0,1
432,1,1,1,-2,1
433,1,1,1,0,1
434,1,1,1,0,0
435,0,-1,-1,1,-1
436,0,-1,0,0,-1
437,-1,0,0,0,1
438,-1,-2,0,1,0
439,-2,-3,-3,0,-2
440,1,0,0,0,1
441,1,1,1,0,1
442,1,1,1,-2,1
443,1,1,1,-1,1
444,0,-1,-1,-2,-1
445,0,0,-1,1,0
446,0,-1,-1,0,-1
447,-1,-1,-1,0,-1
448,0,1,0,0,-1
449,1,1,1,0,0
450,0,-1,-1,0,-1
451,1,1,1,0,0
452,0,1,1,1,1
453,0,1,1,-2,1
454,-2,0,-1,1,-1
455,1,1,1,-2,1
456,1,-1,0,1,1
457,1,1,1,-1,1
458,-3,0,-3,2,-2
459,0,-1,1,0,-1
460,1,1,0,1,0
461,1,1,1,2,1
462,-1,-2,-1,0,-1
463,0,-1,-1,0,-1
464,0,-1,0,-2,1
465,1,1,0,0,1
466,-2,1,1,0,1
467,0,1,1,0,0
468,-1,-2,-1,0,-1
469,-1,-3,-1,1,-1
470,-1,1,1,1,1
471,0,0,1,-2,1
472,0,1,1,1,-1
473,1,-1,-1,0,-1
474,1,1,1,0,1
475,0,0,-2,0,-2
476,0,1,1,0,0
477,0,1,0,0,1
478,0,-1,-1,0,-1
479,1,-3,-1,0,-3
480,1,0,1,-1,-1
481,1,1,0,-2,1
482,-2,1,-1,-1,1
483,1,1,0,0,1
484,1,1,1,2,1
485,1,0,-1,1,-1
486,1,0,1,2,1
487,0,-2,-1,1,-2
488,0,-1,0,1,-1
489,1,1,1,0,1
490,-2,1,0,2,-1
491,1,0,-1,0,-1
492,0,0,1,0,-1
493,1,0,1,1,0
494,1,-1,0,0,-1
495,0,0,0,0,-1
496,-2,1,1,2,-2
497,1,-1,1,0,0
498,-1,-1,0,0,-1
499,0,-2,-1,1,-2
500,-3,-3,0,2,-1
501,0,1,0,0,0
502,1,1,1,0,1
503,0,0,1,0,1
504,1,1,-1,2,1
505,-1,-1,-1,0,-1
506,1,1,0,1,1
507,1,1,1,0,1
508,0,0,-1,0,-1
509,0,1,-1,1,-1
510,0,1,0,1,-1
511,1,1,0,1,1
512,-1,0,-1,0,-1
513,-2,1,0,-1,1
514,-1,-1,1,0,-1
515,-2,-2,-1,-2,-1
516,0,0,-1,0,-1
517,-2,0,-1,0,-1
518,0,1,0,1,-1
519,-1,0,0,-1,1
520,1,1,1,0,1
521,1,0,1,-2,1
522,0,-1,-1,-2,0
523,0,-1,-1,1,-1
524,1,1,1,-2,1
525,-2,0,1,0,0
526,-1,-1,0,0,-1
527,-1,0,0,2,0
528,0,1,1,2,1
529,0,-1,-1,1,-1
530,1,1,1,1,1
531,-1,0,-2,-2,0
532,-1,-1,-1,-1,-1
533,0,-1,0,-2,-1
534,0,-1,-1,0,-1
535,-1,-1,-1,1,-1
536,0,1,0,0,1
537,1,0,1,0,0
538,0,1,1,-2,1
539,-1,1,1,0,1
540,0,-1,-1,-1,0
541,-2,-1,-1,0,0
542,1,1,0,-1,1
543,0,0,1,0,1
544,-2,0,-1,0,-1
545,0,1,1,0,1
546,-1,1,1,-2,1
547,0,0,0,0,1
548,1,1,0,-2,0
549,0,-1,-1,0,-1
550,0,0,0,0,1
551,0,-1,0,0,-1
552,0,-1,0,-2,1
553,1,1,1,2,0
554,-1,1,0,0,0
555,0,-1,-3,-2,-2
556,1,0,-1,-2,0
557,0,-1,-1,0,-1
558,-1,-1,-1,0,0
559,-1,-2,-1,1,-1
560,1,0,1,0,0
561,1,0,1,2,1
562,1,0,1,-1,1
563,-1,1,-1,1,0
564,-2,-1,0,0,-1
565,-1,-1,-1,1,-1
566,1,1,1,2,1
567,-2,-1,-1,-2,-1
568,1,1,0,0,1
